number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,user_attrs_mape,user_attrs_mda,state,mda,mape,best_iteration
29,0.25555555555555554,05:28.0,05:36.6,0 days 00:00:08.565166,0.8623772609330317,0.06272060577736852,15,20,1063,116,0.48339848293388055,0.0025244715620066104,0.619720671481651,69,0.0035048214363843475,0.7444444444444445,COMPLETE,0.7444444444444445,0.0035048214363843475,69
30,0.05555555555555558,05:36.6,05:38.1,0 days 00:00:01.523731,0.5356872257473972,0.13488959138550238,4,29,1208,31,0.032984600555449266,0.0063301015477299355,0.7653262381999234,87,0.0025846369800581466,0.9444444444444444,COMPLETE,0.9444444444444444,0.0025846369800581466,87
31,0.1333333333333333,05:38.1,05:40.4,0 days 00:00:02.305432,0.9992483437747104,0.06202490872215823,6,94,144,104,0.09454845831991181,3.1810614215650095e-07,0.6319522920393433,66,0.0032147571393582094,0.8666666666666667,COMPLETE,0.8666666666666667,0.0032147571393582094,66
32,0.033333333333333326,05:40.4,05:45.0,0 days 00:00:04.560483,0.9326256258682164,0.040960535042530374,6,86,428,93,0.9200250551533954,2.5319575372084485e-06,0.8297648269074978,223,0.002462989637612131,0.9666666666666667,COMPLETE,0.9666666666666667,0.002462989637612131,223
33,0.2222222222222222,05:45.0,05:45.9,0 days 00:00:00.900011,0.9014468373896856,0.28173797420728725,3,71,290,60,0.2065489402076617,1.8890217524044146e-06,0.5743989553728197,21,0.003774419556627054,0.7777777777777778,COMPLETE,0.7777777777777778,0.003774419556627054,21
34,0.21111111111111114,05:45.9,05:51.1,0 days 00:00:05.206128,0.9718136860360028,0.06577759260987597,7,22,578,122,2.342779046001607,7.379396764438446e-08,0.5783494173259321,73,0.003212711916720478,0.7888888888888889,COMPLETE,0.7888888888888889,0.003212711916720478,73
35,0.09999999999999998,05:51.1,05:56.4,0 days 00:00:05.288051,0.5951904594963165,0.08978380853991941,10,35,1617,144,0.012312255900287188,3.1179665529489585e-05,0.5099158077871763,212,0.003219787110988033,0.9,COMPLETE,0.9,0.003219787110988033,212
36,0.07777777777777772,05:56.4,05:58.6,0 days 00:00:02.234908,0.9737371394717561,0.225855245894557,5,60,247,179,0.10013281114432679,0.0006815031586183552,0.9249075208307651,99,0.0020169529707400884,0.9222222222222223,COMPLETE,0.9222222222222223,0.0020169529707400884,99
37,0.0444444444444444,05:58.6,06:03.4,0 days 00:00:04.807288,0.7052068389768015,0.05191281468229813,8,73,721,111,2.415033586545883,4.912158877253041e-07,0.6399081830761646,230,0.002383368631376834,0.9555555555555556,COMPLETE,0.9555555555555556,0.002383368631376834,230
38,0.05555555555555558,06:03.4,06:05.2,0 days 00:00:01.723536,0.8422284547025105,0.10761964521524801,4,88,1310,82,9.325851928465948,1.2658740435375874e-08,0.6958051273130527,94,0.002468050555831261,0.9444444444444444,COMPLETE,0.9444444444444444,0.002468050555831261,94
39,0.25555555555555554,06:05.2,06:19.3,0 days 00:00:14.156636,0.7714061118928156,0.036810486477821175,9,12,555,131,2.898248999097161e-05,4.942630877212084e-06,0.9587344104218783,143,0.0033027702409736694,0.7444444444444445,COMPLETE,0.7444444444444445,0.0033027702409736694,143
40,0.09999999999999998,06:19.3,06:30.4,0 days 00:00:11.024126,0.9044129808691628,0.029304911929236486,6,23,1817,171,0.011918981812919031,8.505265417553461e-07,0.8913598385144379,488,0.0027974871298502126,0.9,COMPLETE,0.9,0.0027974871298502126,488
41,0.06666666666666665,06:30.4,06:32.3,0 days 00:00:01.899324,0.6641793579198341,0.12844875672049846,13,80,1492,22,2.9450105969817304e-08,0.7978228851281294,0.5509279500114839,36,0.0029451380897436187,0.9333333333333333,COMPLETE,0.9333333333333333,0.0029451380897436187,36
42,0.0444444444444444,06:32.3,06:35.9,0 days 00:00:03.680126,0.6817899623496502,0.07811833378607125,13,79,1452,53,3.883588227126541e-08,0.10036351396004879,0.532608666390279,133,0.0024181911778089807,0.9555555555555556,COMPLETE,0.9555555555555556,0.0024181911778089807,133
43,0.022222222222222254,06:35.9,06:39.9,0 days 00:00:03.967210,0.6162047954369254,0.05550577422563181,11,87,1583,29,5.392267745505133e-07,0.2262132467929041,0.5975370897848504,144,0.0022485885420112524,0.9777777777777777,COMPLETE,0.9777777777777777,0.0022485885420112524,144
44,0.05555555555555558,06:39.9,06:43.0,0 days 00:00:03.108428,0.5254577986105613,0.05680977153496662,11,90,1596,75,2.1453860386839793e-06,2.2703591637126723,0.5945404271668159,126,0.002560449063396286,0.9444444444444444,COMPLETE,0.9444444444444444,0.002560449063396286,126
45,0.06666666666666665,06:43.0,06:48.8,0 days 00:00:05.777322,0.6112114968187569,0.04187989600304478,9,58,1991,34,7.001090491278313e-07,0.028391174164558244,0.6078621725859399,231,0.0027027661182137445,0.9333333333333333,COMPLETE,0.9333333333333333,0.0027027661182137445,231
46,0.12222222222222223,06:48.8,06:51.6,0 days 00:00:02.848299,0.8403182023543369,0.04676099471300676,7,100,800,152,0.06713531090912171,0.2259106404447199,0.509519583576581,80,0.0039120944258824635,0.8777777777777778,COMPLETE,0.8777777777777778,0.0039120944258824635,80
47,0.06666666666666665,06:51.6,07:02.3,0 days 00:00:10.680424,0.5855625842607215,0.024556809742871416,11,51,1883,97,2.477516959923969e-07,0.0002934113429260466,0.6524063523067218,444,0.0023261957469751285,0.9333333333333333,COMPLETE,0.9333333333333333,0.0023261957469751285,444
