number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,user_attrs_mape,user_attrs_mda,state,mda,mape,best_iteration
68,0.05555555555555558,09:09.8,09:14.5,0 days 00:00:04.663478,0.9922895413861379,0.0570760465796977,6,81,1112,107,1.0766883547471787e-08,0.06102148976428458,0.5256997727832066,170,0.0025074369950078747,0.9444444444444444,COMPLETE,0.9444444444444444,0.0025074369950078747,170
69,0.033333333333333326,09:14.5,09:20.7,0 days 00:00:06.224601,0.9134396334281589,0.05217739090353355,8,68,1026,26,0.0005375704727002343,2.1464188839246913e-05,0.6127181796344539,247,0.0024467945915124193,0.9666666666666667,COMPLETE,0.9666666666666667,0.0024467945915124193,247
70,0.06666666666666665,09:20.7,09:27.5,0 days 00:00:06.819111,0.882339942040852,0.0453682939731949,7,45,647,37,4.201410088993094e-07,0.43320761965902266,0.8518374799357336,289,0.002320325961499091,0.9333333333333333,COMPLETE,0.9333333333333333,0.002320325961499091,289
71,0.05555555555555558,09:27.5,09:31.6,0 days 00:00:04.045884,0.6647110619533276,0.055131264105230095,5,16,1215,196,0.6124205981926371,3.8315389881714315,0.8124011519127756,225,0.0022075636114956263,0.9444444444444444,COMPLETE,0.9444444444444444,0.0022075636114956263,225
72,0.033333333333333326,09:31.6,09:34.8,0 days 00:00:03.256866,0.7307935171311511,0.14198677887501582,7,18,765,220,2.3383349925866144,1.3994608013564216,0.775880384902058,95,0.0028953540059599736,0.9666666666666667,COMPLETE,0.9666666666666667,0.0028953540059599736,95
73,0.11111111111111116,09:34.8,09:46.8,0 days 00:00:11.998534,0.6838215179899018,0.010452622019099862,6,11,356,66,0.26235265849241785,0.160174001187588,0.7326205735548881,356,0.003093736288931686,0.8888888888888888,COMPLETE,0.8888888888888888,0.003093736288931686,356
74,0.033333333333333326,09:46.8,09:57.7,0 days 00:00:10.834540,0.8140081948269621,0.039646561670901845,8,25,1282,210,7.768615987190736e-08,7.1675480931634885,0.9960259762887904,506,0.0016492328857384796,0.9666666666666667,COMPLETE,0.9666666666666667,0.0016492328857384796,506
75,0.0444444444444444,09:57.7,10:05.7,0 days 00:00:07.985255,0.713722565062969,0.035739869620545116,5,23,1411,163,0.06747610009125406,2.5422014627263705e-07,0.7992476664770491,542,0.0016927376240102405,0.9555555555555556,COMPLETE,0.9555555555555556,0.0016927376240102405,542
76,0.05555555555555558,10:05.7,10:09.3,0 days 00:00:03.661772,0.6456458019551234,0.08118058090091845,9,61,1343,173,0.1478420937329731,0.9515581256560813,0.974081214193732,153,0.0023719256453485433,0.9444444444444444,COMPLETE,0.9444444444444444,0.0023719256453485433,153
77,0.1444444444444445,10:09.3,10:12.5,0 days 00:00:03.149524,0.5016566259384136,0.17037939494598797,6,14,920,206,5.4060559551488705,4.468240281027289e-08,0.6946139083194943,129,0.002592085723352486,0.8555555555555555,COMPLETE,0.8555555555555555,0.002592085723352486,129
78,0.05555555555555558,10:12.5,10:14.3,0 days 00:00:01.816440,0.850250854297832,0.06925862629610781,3,86,1150,235,0.02045563008719711,4.308929075072968,0.7516953995057871,130,0.00183387247700888,0.9444444444444444,COMPLETE,0.9444444444444444,0.00183387247700888,130
79,0.0888888888888889,10:14.3,10:23.8,0 days 00:00:09.501319,0.9560578258229504,0.062693713857789,10,36,1667,47,0.7459608154402195,0.04445140171800825,0.6639637333024273,296,0.002419416893278643,0.9111111111111111,COMPLETE,0.9111111111111111,0.002419416893278643,296
80,0.15555555555555556,10:23.8,10:26.8,0 days 00:00:03.035723,0.7963812850091668,0.04747901694005889,11,92,1802,190,0.008529813717134543,0.5124567013429542,0.8917147781044852,89,0.00304959867055406,0.8444444444444444,COMPLETE,0.8444444444444444,0.00304959867055406,89
