列ID,列名,分组,是否核心因子,有效样本数,均值
ID00186581,铁矿石：到港量：天津港（周度）,供应-到港,否,3759,169.326856
ID00186597,铁矿石：现货日均成交量合计：贸易商：中国主要港口（周度）,价格-矿石价格,否,3747,94.197353
ID00187175,126家矿山企业（266座矿山）：产能利用率（周度）,供应-矿山,否,3744,63.465972
ID00392596_week,186家矿山企业（363座矿山）：铁精粉：日均产量（周度）,供应-产量,否,2638,342.388575
ID00392607,186家矿山企业（363座矿山）：产能利用率（周度）,供应-矿山,否,2638,62.639030
ID00392616,126家矿山企业（266座矿山）：铁精粉：库存：西南地区（周度）,标的(Y变量),否,2640,42.389458
ID00409038,铁矿石：澳大利亚联邦产区：发货量：19个港口（周度）,供应-发货量,否,2498,1778.632786
ID01002310,铁矿石：进口：库存：247家钢铁企业（周度）,标的(Y变量),否,2301,9978.738527
ID01002311,铁矿石：进口：库存消费比：247家钢铁企业（周度）,标的(Y变量),否,2298,34.797602
ID01017990,铁矿石：澳大利亚联邦产区：发货量合计：19个港口：澳大利亚联邦→中华人民共和国（周度）,供应-发货量,否,2195,1499.210296
ID01017994,铁矿石：进口：日均消耗量：247家钢铁企业（周度）,需求-消费,否,2300,287.516639
ID01155775,铁矿石：发货量：澳大利亚联邦：澳大利亚必和必拓集团（周度）,供应-发货量,是,2837,548.287945
ID01155776,铁矿石：发货量：澳大利亚联邦：福蒂斯丘金属集团（周度）,供应-发货量,否,2830,353.054336
ID01166976,铁矿石：远期现货日均成交量（周度）,价格-矿石价格,否,2297,88.053095
ID01203605,铁矿石：到港量：澳大利亚联邦：青岛港：明细（周度）,供应-到港,否,2666,118.651538
ID01203612,铁矿石：到港量：巴西联邦共和国：青岛港：明细（周度）,供应-到港,否,2665,73.070882
ID01203685,铁矿石：到港量：澳大利亚联邦：江阴港：明细（周度）,供应-到港,否,2664,58.741366
ID01203688,铁矿石：到港量：巴西联邦共和国：江阴港：明细（周度）,供应-到港,否,2660,12.186805
ID01203696,铁矿石：到港量：澳大利亚联邦：曹妃甸港：明细（周度）,供应-到港,否,2666,154.420668
ID01203712,铁矿石：到港量：巴西联邦共和国：曹妃甸港：明细（周度）,供应-到港,否,2660,52.658797
ID01203747,铁矿石：到港量：乌克兰：岚山港：明细（周度）,供应-到港,否,2659,7.016435
ID01203829,铁矿石：到港量：巴西联邦共和国：45个港口：明细（周度）,标的(Y变量),是,2178,476.626125
ID01203836,铁矿石：到港量：乌克兰：45个港口：明细（周度）,标的(Y变量),是,2174,24.891674
ID01203858,块矿：60-62%Fe：到港量：曹妃甸港：明细（周度）,供应-到港,否,2663,1.927225
ID01203949,粉矿：60-62%Fe：到港量：青岛港：明细（周度）,供应-到港,否,2663,52.376590
ID01203957,粉矿：62%Fe以上：到港量：青岛港：明细（周度）,供应-到港,否,2669,40.438966
ID01204008,粉矿：62%Fe以上：到港量：江阴港：明细（周度）,供应-到港,否,2667,4.843870
ID01204010,粉矿：60-62%Fe：到港量：江阴港：明细（周度）,供应-到港,否,2665,26.163512
ID01204014,粉矿：60-62%Fe：到港量：曹妃甸港：明细（周度）,供应-到港,否,2667,59.503817
ID01204016,粉矿：62%Fe以上：到港量：曹妃甸港：明细（周度）,供应-到港,否,2667,36.476753
ID01204136,块矿：到港量：青岛港：明细（周度）,供应-到港,否,2662,27.943088
ID01204153,块矿：60-62%Fe：到港量：青岛港：明细（周度）,供应-到港,否,2667,0.000000
ID01204168,块矿：到港量：江阴港：明细（周度）,供应-到港,否,2673,13.761130
ID01204174,块矿：到港量：曹妃甸港：明细（周度）,供应-到港,否,2662,36.535162
ID01204184,块矿：60-62%Fe：到港量：江阴港：明细（周度）,供应-到港,否,2650,1.503094
ID01204598,麦克粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2664,4.555743
ID01204634,麦克粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2656,3.849548
ID01204797,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2662,4.504545
ID01204800,纽曼粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2666,3.445874
ID01204801,西皮尔巴拉粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）,供应-到港,否,2665,2.274259
ID01204802,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2660,4.868647
ID01204805,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）,供应-到港,是,2665,11.452946
ID01204806,超特粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）,供应-到港,否,2667,12.365129
ID01204812,PB块：到港量：青岛港：力拓集团：明细（周度）,供应-到港,是,2668,16.895240
ID01204813,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2662,21.014200
ID01204815,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）,供应-到港,是,2664,64.492755
ID01204817,铁矿石：到港量：青岛港：力拓集团：明细（周度）,供应-到港,是,2668,56.804948
ID01204818,铁矿石：到港量：青岛港：福蒂斯丘金属集团：明细（周度）,供应-到港,否,2666,30.443586
ID01204822,FMG块矿：到港量：青岛港：福蒂斯丘金属集团：明细（周度）,供应-到港,是,2668,1.625825
ID01204828,卡拉加斯粉：到港量：青岛港：巴西淡水河谷公司：明细（周度）,供应-到港,是,2667,36.983315
ID01204829,PB粉：到港量：青岛港：力拓集团：明细（周度）,供应-到港,是,2661,31.383803
ID01205015,纽曼粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2670,3.330300
ID01205016,西皮尔巴拉粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）,供应-到港,否,2670,0.861311
ID01205017,金布巴粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2664,2.962650
ID01205020,FMG混合粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）,供应-到港,是,2659,4.464611
ID01205022,超特粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）,供应-到港,否,2663,4.158055
ID01205023,铁矿石：到港量：江阴港：力拓集团：明细（周度）,供应-到港,是,2674,20.662752
ID01205029,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2654,4.339337
ID01205035,PB粉：到港量：江阴港：力拓集团：明细（周度）,供应-到港,是,2665,10.449944
ID01205036,铁矿石：到港量：江阴港：福蒂斯丘金属集团：明细（周度）,供应-到港,否,2664,11.229805
ID01205042,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2671,17.269637
ID01205043,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）,供应-到港,是,2670,0.589251
ID01205045,卡拉加斯粉：到港量：江阴港：巴西淡水河谷公司：明细（周度）,供应-到港,是,2658,0.000000
ID01205048,PB块：到港量：江阴港：力拓集团：明细（周度）,供应-到港,是,2658,5.384387
ID01205049,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2668,19.406147
ID01205051,超特粉：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）,供应-到港,否,2673,13.262290
ID01205052,麦克粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2666,12.802926
ID01205055,FMG混合粉：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）,供应-到港,是,2664,13.900938
ID01205057,纽曼粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2666,12.011215
ID01205058,西皮尔巴拉粉：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）,供应-到港,否,2671,2.240884
ID01205061,铁矿石：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2662,63.390947
ID01205062,铁矿石：到港量：曹妃甸港：力拓集团：明细（周度）,供应-到港,是,2664,43.619219
ID01205063,金布巴粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-到港,是,2668,12.867241
ID01205064,铁矿石：到港量：曹妃甸港：巴西淡水河谷公司：明细（周度）,供应-到港,是,2659,49.657728
ID01205065,铁矿石：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）,供应-到港,否,2662,34.449061
ID01205069,PB块：到港量：曹妃甸港：力拓集团：明细（周度）,供应-到港,是,2667,8.657293
ID01205073,卡拉加斯粉：到港量：曹妃甸港：巴西淡水河谷公司：明细（周度）,供应-到港,是,2666,24.388935
ID01205075,FMG块矿：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）,供应-到港,是,2669,1.696403
ID01205076,PB粉：到港量：曹妃甸港：力拓集团：明细（周度）,供应-到港,是,2660,24.108459
ID01205336,金布巴粉：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）,标的(Y变量),是,2181,93.159972
ID01205343,麦克粉：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）,标的(Y变量),是,2176,112.026379
ID01205344,纽曼粉：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）,标的(Y变量),是,2181,97.333654
ID01205346,超特粉：到港量：45个港口：福蒂斯丘金属集团：明细（周度）,标的(Y变量),是,2181,122.924163
ID01205370,纽曼块：到港量：45个港口：澳大利亚必和必拓集团：明细（周度）,标的(Y变量),是,2178,133.565840
ID01205387,PB粉：到港量：45个港口：力拓集团：明细（周度）,标的(Y变量),是,2181,268.051215
ID01205397,PB块：到港量：45个港口：力拓集团：明细（周度）,标的(Y变量),是,2182,122.058478
ID01205398,CSN粗粉：到港量：45个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度）,标的(Y变量),是,2181,43.961531
ID01205399,CSN精粉：到港量：45个港口：巴西国家黑色冶金（巴西国家钢铁公司）：明细（周度）,标的(Y变量),是,2178,4.159504
ID01207860,铁矿石：进口：247家钢铁企业：厂内库存消费比：西北地区：明细（周度）,标的(Y变量),否,2295,17.158327
ID01207863,铁矿石：进口：247家钢铁企业：厂内库存：华南地区：明细（周度）,标的(Y变量),否,2298,406.398159
ID01207868,铁矿石：进口：247家钢铁企业：厂内库存消费比：华南地区：明细（周度）,标的(Y变量),否,2295,17.988758
ID01207869,铁矿石：进口：247家钢铁企业：库存消费比：华南地区：明细（周度）,标的(Y变量),否,2294,49.146966
ID01207870,铁矿石：进口：247家钢铁企业：厂内库存：东北地区：明细（周度）,标的(Y变量),否,2300,170.918535
ID01207871,铁矿石：进口：247家钢铁企业：厂内库存消费比：华东地区：明细（周度）,标的(Y变量),否,2302,14.383488
ID01207873,铁矿石：进口：247家钢铁企业：库存消费比：华北地区：明细（周度）,标的(Y变量),否,2299,25.005272
ID01207876,铁矿石：进口：247家钢铁企业：厂内库存：西北地区：明细（周度）,标的(Y变量),否,2298,132.769978
ID01207878,铁矿石：进口：247家钢铁企业：厂内库存消费比：东北地区：明细（周度）,标的(Y变量),否,2303,9.866908
ID01207883,铁矿石：进口：247家钢铁企业：厂内库存消费比：华中地区：明细（周度）,标的(Y变量),否,2299,14.862397
