列ID,列名,类型
RE00035609_diff_7,FMG混合粉：发货量：澳大利亚联邦：明细（周度）_diff_7,factor
ID01205023_lag_3,铁矿石：到港量：江阴港：力拓集团：明细（周度）_lag3,factor
ID01205023_lag_7,铁矿石：到港量：江阴港：力拓集团：明细（周度）_lag7,factor
ID01205023_lag_14,铁矿石：到港量：江阴港：力拓集团：明细（周度）_lag14,factor
ID01205023_lag_30,铁矿石：到港量：江阴港：力拓集团：明细（周度）_lag30,factor
ID01205057_lag_7,纽曼粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_lag7,factor
ID01205057_lag_14,纽曼粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_lag14,factor
ID01205057_lag_30,纽曼粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_lag30,factor
ID01205057_diff_1,纽曼粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）_diff_1,factor
ID02017568_lag_1,铁矿石：进口：日均疏港量：长江沿江地区：31个港口（周度）_lag1,factor
ID02017568_lag_3,铁矿石：进口：日均疏港量：长江沿江地区：31个港口（周度）_lag3,factor
ID02017568_lag_30,铁矿石：进口：日均疏港量：长江沿江地区：31个港口（周度）_lag30,factor
ID02017568_diff_1,铁矿石：进口：日均疏港量：长江沿江地区：31个港口（周度）_diff_1,factor
ID02017568_diff_7,铁矿石：进口：日均疏港量：长江沿江地区：31个港口（周度）_diff_7,factor
ID02017568_pct_7,铁矿石：进口：日均疏港量：长江沿江地区：31个港口（周度）_pct_7,factor
ID00186666_lag_30,铁矿石：产量：澳大利亚必和必拓集团：100%股权（季度）_lag30,factor
ID00414945_lag_3,铁矿石：进口：库存：华东地区：45个港口（周度）_lag3,factor
ID00414945_lag_30,铁矿石：进口：库存：华东地区：45个港口（周度）_lag30,factor
ID00414945_diff_1,铁矿石：进口：库存：华东地区：45个港口（周度）_diff_1,factor
ID00414945_diff_7,铁矿石：进口：库存：华东地区：45个港口（周度）_diff_7,factor
ID00414945_pct_1,铁矿石：进口：库存：华东地区：45个港口（周度）_pct_1,factor
ID00414945_pct_7,铁矿石：进口：库存：华东地区：45个港口（周度）_pct_7,factor
ID01205075_lag_7,FMG块矿：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）_lag7,factor
