列ID,列名,分组,有效样本数
ID00392622,铁矿石：产量：力拓皮尔巴拉矿区（季度）,供应-产量,3764
ID01155774_quarter,铁矿石：发货量：澳大利亚联邦：力拓集团（季度）,供应-发货量,2759
ID01434259,球团矿：销售数量：全球：巴西淡水河谷公司（季度）,供应-矿山,3398
ID01562396_quarter,PB块：到港量：47个港口：力拓集团：明细（季度）,供应-到港,1854
ID01562397_quarter,PB粉：到港量：47个港口：力拓集团：明细（季度）,供应-到港,1853
IO_SHIP_VOL_GLOB_016_quarter,铁矿石淡水河谷发中国总量（季度）,供应-矿山,2218
ID00186565_year,铁矿石：发货量：澳大利亚必和必拓集团→中华人民共和国（年度）,供应-发货量,3777
ID00186566_year,铁矿石：发货量：巴西淡水河谷公司→全球（年度）,供应-发货量,3775
ID00186568_year,铁矿石：发货量：力拓集团→中华人民共和国（年度）,供应-发货量,3773
ID01155774_year,铁矿石：发货量：澳大利亚联邦：力拓集团（年度）,供应-发货量,2685
ID01562396_year,PB块：到港量：47个港口：力拓集团：明细（年度）,供应-到港,1586
ID01562397_year,PB粉：到港量：47个港口：力拓集团：明细（年度）,供应-到港,1586
IO_SHIP_VOL_GLOB_016_year,铁矿石淡水河谷发中国总量（年度）,供应-矿山,1951
